unitid,institution name,year,institution name,HD2013.Street address or post office box,HD2013.City location of institution,HD2013.State abbreviation,HD2013.ZIP code,HD2013.FIPS state code,HD2013.Geographic region,HD2013.Name of chief administrator,HD2013.Title of chief administrator,HD2013.General information telephone number,HD2013.Fax number,HD2013.Institution's internet website address,HD2013.Financial aid office web address,HD2013.Admissions office web address,HD2013.Online application web address,HD2013.Net price calculator web address,HD2013.Office of Postsecondary Education (OPE) ID Number,HD2013.OPE Title IV eligibility indicator code,HD2013.Employer Identification Number,HD2013.Multi-institution or multi-campus organization,HD2013.Identification number of multi-institution or multi-campus organization,HD2013.Name of multi-institution or multi-campus organization,HD2013.Sector of institution,HD2013.Level of institution,HD2013.Control of institution,HD2013.Highest level of offering,HD2013.Undergraduate offering,HD2013.Graduate offering,HD2013.Highest degree offered,HD2013.Degree-granting status,HD2013.Historically Black College or University,HD2013.Institution has hospital,HD2013.Institution grants a medical degree,HD2013.Tribal college,HD2013.Degree of urbanization (Urban-centric locale),HD2013.Fips County code,HD2013.County name,HD2013.Congressional district code,HD2013.Core Based Statistical Area (CBSA),HD2013.CBSA Type Metropolitan or Micropolitan,HD2013.Combined Statistical Area (CSA),HD2013.New England City and Town Area (NECTA),HD2013.Longitude location of institution,HD2013.Latitude location of institution,HD2013.Institution open to the general public,HD2013.Status of institution,HD2013.UNITID for merged schools,HD2013.Year institution was deleted from IPEDS,HD2013.Date institution closed,HD2013.Institution is active in current year,HD2013.Primarily postsecondary indicator,HD2013.Postsecondary institution indicator,HD2013.Postsecondary and Title IV institution indicator,"HD2013.Reporting method for student charges, graduation rates, retention rates and student financial aid",HD2013.Institutional category,HD2013.Carnegie Classification 2010: Basic,HD2013.Carnegie Classification 2010: Undergraduate Instructional Program,HD2013.Carnegie Classification 2010: Graduate Instructional Program,HD2013.Carnegie Classification 2010: Undergraduate Profile,HD2013.Carnegie Classification 2010: Enrollment Profile,HD2013.Carnegie Classification 2010: Size and Setting,HD2013.Land Grant Institution,HD2013.Carnegie Classification 2000,HD2013.Data Feedback Report comparison group category created by NCES,HD2013.Data Feedback Report - Institution submitted a custom comparison group,FLAGS2013.Status of IC component when institution was migrated,FLAGS2013.Revision status - Institutional Characteristics,FLAGS2013.Response status -  Institutional characteristics component,FLAGS2013.Type of imputation method Institutional Characteristics,FLAGS2013.Natural Disaster identification,HD2013.Institution name alias
149231,Southern Illinois University-Edwardsville,2013,Southern Illinois University-Edwardsville,Il State Rte 157,Edwardsville,Illinois,62026-1259,Illinois,Great Lakes IL IN MI OH WI,Julie A. Furst-Bowe,Chancellor,6186502000,6186503885,www.siue.edu,www.siue.edu/financialaid/,www.siue.edu/admissions,www.siue.edu/,www.siue.edu/financialaid/net-price-calculator.shtml,175900,Participates in Title IV federal financial aid programs,370986220,Institution is part of a multi-institution or multi-campus organization,117030,Southern Illinois University,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,Yes,No,Suburb: Large,"Madison County, IL",Madison County,"IL, District 13","St. Louis, MO-IL Metro Area",Metropolitan Statistical Area,"St. Louis-St. Charles-Farmington, MO-IL CSA",Not applicable,-89.997779,38.793949,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, high graduate coexistence",Postbaccalaureate comprehensive,"Full-time four-year, selective, higher transfer-in",High undergraduate,"Large four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /2 of  5","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,SIUE
149240,Southern Illinois University-System Office,2013,Southern Illinois University-System Office,1400 Douglas Drive,Carbondale,Illinois,62901-6801,Illinois,Great Lakes IL IN MI OH WI,Glenn Poshard,President,6185363331,6185363404,southernillinois.edu/,,,southernillinois.edu/pres/apply.html,,823700,Branch campus of a main campus that participates in Title IV,376005961,Institution is part of a multi-institution or multi-campus organization,117030,Southern Illinois University,Administrative Unit,Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,Not applicable,No,City: Small,"Jackson County, IL",Jackson County,"IL, District 12","Carbondale-Marion, IL Metro Area",Metropolitan Statistical Area,Not applicable,Not applicable,-89.221714,37.707224,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Not applicable,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Not a Land Grant Institution,{Item not available},Not applicable - Institution is inactive or adminstrative unit,Not applicable,"Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,
149514,Trinity International University-Illinois,2013,Trinity International University-Illinois,2065 Half Day Rd,Deerfield,Illinois,60015-1283,Illinois,Great Lakes IL IN MI OH WI,"Neil Nyberg, JD",Interim President,8479458800,8473178090,www.tiu.edu,,,,undergrad.tiu.edu/admissions/financial-aid/calculator.dot,177200,Participates in Title IV federal financial aid programs,362216176,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship,Degree-granting,No,No,No,No,Suburb: Large,"Lake County, IL",Lake County,"IL, District 10","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI CSA",Not applicable,-87.882722,42.197909,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Doctoral/Research Universities,"Professions plus arts & sciences, some graduate coexistence",Single doctoral (other field),"Full-time four-year, selective, lower transfer-in",Majority graduate/professional,"Small four-year, highly residential",Not a Land Grant Institution,Theological seminaries and other specialized faith-related institutions,"Doctoral/Research Universities, private not-for-profit and enrollment of a similar size","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,
149550,University of Spa & Cosmetology Arts,2013,University of Spa & Cosmetology Arts,2913 W. White Oaks Dr.,Springfield,Illinois,62704,Illinois,Great Lakes IL IN MI OH WI,Jacki Vaught-Slightom,Director of Admissions & Financial Aid,2177538990,2177530013,www.uscart.com,www.uscart.com,www.uscart.com,www.uscart.com,www.uscart.com,2124400,Participates in Title IV federal financial aid programs,371053366,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",Undergraduate degree or certificate offering,No graduate offering,Non-degree granting,"Nondegree-granting, primarily postsecondary",No,Not applicable,No,No,City: Midsize,"Sangamon County, IL",Sangamon County,"IL, District 18","Springfield, IL Metro Area",Metropolitan Statistical Area,"Springfield-Jacksonville-Lincoln, IL CSA",Not applicable,-89.710839,39.76672,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges by program and full-year GR/SFA/retention rate cohort,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Not a Land Grant Institution,{Item not available},"Private for-profit, program reporter, nondegree-granting, the largest program area - cosmetology /5 of 42","No, institution did not submit a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,
149587,University of Illinois University Administration,2013,University of Illinois University Administration,"364 Henry Administration Building, 506 S Wright Street",Urbana,Illinois,61801,Illinois,Great Lakes IL IN MI OH WI,Robert A. Easter,President,2173331000,2173336355,www.uillinois.edu,,,,www.osfa.illinois.edu/aid/NPC/NPC.asp,800100,Branch campus of a main campus that participates in Title IV,376000511,Institution is part of a multi-institution or multi-campus organization,117040,University of Illinois Board of Trustees,Administrative Unit,Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,Not applicable,No,City: Small,"Champaign County, IL",Champaign County,"IL, District 13","Champaign-Urbana, IL Metro Area",Metropolitan Statistical Area,Not applicable,Not applicable,-88.228381,40.108488,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Not applicable,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Not a Land Grant Institution,{Item not available},Not applicable - Institution is inactive or adminstrative unit,Not applicable,"Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,UA
149763,Resurrection University,2013,Resurrection University,1431 N. Claremont,Chicago,Illinois,60622,Illinois,Great Lakes IL IN MI OH WI,Beth A. Brooks,President,7732526464,7732575134,www.resu.edu,,,,www.resu.edu,2214100,Participates in Title IV federal financial aid programs,362182170,Institution is part of a multi-institution or multi-campus organization,201200,Resurrection Health Care,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Post-master's certificate,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Master's degree,Degree-granting,No,No,No,No,City: Large,"Cook County, IL",Cook County,"IL, District 04","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI CSA",Not applicable,-87.685291,41.90748,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Other health professions schools,"Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Very high undergraduate,"Not applicable, special focus institution",Not a Land Grant Institution,Other separate health profession schools,"Other health professions schools, Public or private not-for-profit /2 of 3","No, institution did not submit a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,
149772,Western Illinois University,2013,Western Illinois University,1 University Circle,Macomb,Illinois,61455,Illinois,Great Lakes IL IN MI OH WI,Jack Thomas,President,3092951414,,www.wiu.edu,,,,www.wiu.edu/student_services/financial_aid/netPriceCalculator.php,178000,Participates in Title IV federal financial aid programs,370910458,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship,Degree-granting,No,No,No,No,Town: Remote,"McDonough County, IL",McDonough County,"IL, District 18","Macomb, IL Micro Area",Micropolitan Statistical Area,Not applicable,Not applicable,-90.685235,40.465621,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, high graduate coexistence",Single doctoral (education),"Full-time four-year, selective, higher transfer-in",High undergraduate,"Large four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /2 of  5","No, institution did not submit a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,
150066,Anderson University,2013,Anderson University,1100 E 5th St,Anderson,Indiana,46012-3495,Indiana,Great Lakes IL IN MI OH WI,James Edwards,President,7656499071,7656413851,www.anderson.edu,www.anderson.edu/finaid,www.anderson.edu/admissions/,www.anderson.edu/admissions/apply/,www.anderson.edu/finaid/net-calculator.html,178500,Participates in Title IV federal financial aid programs,350867954,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship,Degree-granting,No,No,No,No,City: Small,"Madison County, IN",Madison County,"IN, District 05","Indianapolis-Carmel-Anderson, IN Metro Area",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN CSA",Not applicable,-85.662292,40.112167,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, some graduate coexistence","Doctoral, professional dominant","Full-time four-year, selective, lower transfer-in",High undergraduate,"Small four-year, highly residential",Not a Land Grant Institution,Masters Colleges and Universities II,"Masters Colleges and Universities (larger programs), private not-for-profit /6 of 7","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,
150136,Ball State University,2013,Ball State University,2000 University Ave,Muncie,Indiana,47306,Indiana,Great Lakes IL IN MI OH WI,Dr. Jo Ann M. Gora,President,7652891241,,www.bsu.edu,www.bsu.edu/finaid,www.bsu.edu/web/admissions/,cms.bsu.edu/admissions/undergraduateadmissions/applynow,cms.bsu.edu/admissions/scholarshipsandfinancialaid/netpricecalculator,178600,Participates in Title IV federal financial aid programs,356000221,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,No,No,City: Small,"Delaware County, IN",Delaware County,"IN, District 06","Muncie, IN Metro Area",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN CSA",Not applicable,-85.408863,40.198942,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Research Universities (high research activity),"Professions plus arts & sciences, some graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Full-time four-year, selective, lower transfer-in",High undergraduate,"Large four-year, primarily residential",Not a Land Grant Institution,Doctoral/Research Universities--Intensive,"Research Universities (high research activity), public/1of 2","No, institution did not submit a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,BSU|Ball U
150163,Butler University,2013,Butler University,4600 Sunset Ave,Indianapolis,Indiana,46208,Indiana,Great Lakes IL IN MI OH WI,James Danko,President,3179408000,3179409990,www.butler.edu,go.butler.edu/about-admission/financial-costs,go.butler.edu/about-admission/,go.butler.edu/about-admission/apply,www.butler.edu/financial-aid/net-price-calculator/,178800,Participates in Title IV federal financial aid programs,350867974,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree -  professional practice,Degree-granting,No,No,No,No,City: Large,"Marion County, IN",Marion County,"IN, District 07","Indianapolis-Carmel-Anderson, IN Metro Area",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN CSA",Not applicable,-86.171791,39.840662,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (medium programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate with arts & sciences (other dominant fields),"Full-time four-year, more selective, lower transfer-in",High undergraduate,"Medium four-year, highly residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (medium programs), private not-for-profit /1 of 3","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,
150303,Tricoci University of Beauty Culture-Highland,2013,Tricoci University of Beauty Culture-Highland,2549 Highway Ave,Highland,Indiana,46322,Indiana,Great Lakes IL IN MI OH WI,Laura Pierce,Vice President of Operations,2198382004,,www.tricociuniversity.com,www.tricociuniversity.com,www.tricociuniversity.com,,www.tricociuniversity.com,1150500,Participates in Title IV federal financial aid programs,562384225,Institution is part of a multi-institution or multi-campus organization,304670,Tricoci University of Beauty Culture LLC,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"At least 1, but less than 2 academic yrs",Undergraduate degree or certificate offering,No graduate offering,Non-degree granting,"Nondegree-granting, primarily postsecondary",No,Not applicable,No,No,Suburb: Large,"Lake County, IN",Lake County,"IN, District 01","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Metropolitan Statistical Area,"Chicago-Naperville, IL-IN-WI CSA",Not applicable,-87.467018,41.555885,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges by program and full-year GR/SFA/retention rate cohort,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",Not a Land Grant Institution,{Item not available},"Private for-profit, program reporter, nondegree-granting, the largest program area - cosmetology /6 of 42","No, institution did not submit a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,HLD
150400,DePauw University,2013,DePauw University,313 S Locust St,Greencastle,Indiana,46135-1772,Indiana,Great Lakes IL IN MI OH WI,Brian W. Casey,President,7656584800,,www.depauw.edu,www.depauw.edu/admission/financial-aid/,www.depauw.edu/admission/,www.depauw.edu/admission/apply/incoming-freshmen/,www.depauw.edu/admission/financial-aid/tuition-fees/net-price-calculator/,179200,Participates in Title IV federal financial aid programs,350869045,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Bachelor's degree,Undergraduate degree or certificate offering,No graduate offering,Bachelor's degree,Degree-granting,No,No,No,No,Town: Distant,"Putnam County, IN",Putnam County,"IN, District 04","Indianapolis-Carmel-Anderson, IN Metro Area",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN CSA",Not applicable,-86.863556,39.63953,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Arts & sciences focus, no graduate coexistence",Not applicable,"Full-time four-year, more selective, lower transfer-in",Exclusively undergraduate four-year,"Small four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--Liberal Arts,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /2 of 7","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,DePauw
150534,University of Evansville,2013,University of Evansville,1800 Lincoln Avenue,Evansville,Indiana,47722,Indiana,Great Lakes IL IN MI OH WI,Dr. Thomas A. Kazee,President,8124882000,,www.evansville.edu/,www.evansville.edu/tuitionandaid/,www.evansville.edu/admission/,www.evansville.edu/apply/,www.evansville.edu/tuitionandaid/calculator.cfm,179500,Participates in Title IV federal financial aid programs,350868074,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree -  professional practice,Degree-granting,No,No,No,No,City: Midsize,"Vanderburgh County, IN",Vanderburgh County,"IN, District 08","Evansville, IN-KY Metro Area",Metropolitan Statistical Area,Not applicable,Not applicable,-87.531963,37.969955,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (smaller programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate professional (business dominant),"Full-time four-year, more selective, lower transfer-in",Very high undergraduate,"Small four-year, highly residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (smaller programs), private not-for-profit /1 of 2","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,UE | Aces | Evansville | Purple Aces
150941,Huntington University,2013,Huntington University,2303 College Ave,Huntington,Indiana,46750,Indiana,Great Lakes IL IN MI OH WI,Sherilyn Emberton,President,2603566000,2603594086,www.huntington.edu,www.huntington.edu/finaid/default.htm,www.huntington.edu/admissions/,apply.huntington.edu,www.indianacollegecosts.org/,180300,Participates in Title IV federal financial aid programs,350868101,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Master's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Master's degree,Degree-granting,No,No,No,No,Town: Distant,"Huntington County, IN",Huntington County,"IN, District 03","Huntington, IN Micro Area",Micropolitan Statistical Area,"Fort Wayne-Huntington-Auburn, IN CSA",Not applicable,-85.499624,40.89907,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions plus arts & sciences, some graduate coexistence",Postbaccalaureate professional (other dominant fields),"Full-time four-year, selective, lower transfer-in",Very high undergraduate,"Small four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--General,"Baccalaureate Colleges--Diverse Fields, private not-for-profit /4 of 8","No, institution did not submit a custom comparison group","Complete, final lock applied",Submitted revised data,Respondent,Not applicable,No,
151102,Indiana University-Purdue University-Fort Wayne,2013,Indiana University-Purdue University-Fort Wayne,2101 E Coliseum Blvd,Fort Wayne,Indiana,46805-1499,Indiana,Great Lakes IL IN MI OH WI,Vicky Carwein,Chancellor,2604816100,2604816880,www.ipfw.edu,www.ipfw.edu/financial,www.ipfw.edu/admissions/,www.ipfw.edu/admissions/applying/,new.ipfw.edu/financial/aid-estimator,182800,Participates in Title IV federal financial aid programs,356002041,Institution is part of a multi-institution or multi-campus organization,118070,Purdue University,"Public, 4-year or above",Four or more years,Public,Master's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Master's degree,Degree-granting,No,No,No,No,City: Large,"Allen County, IN",Allen County,"IN, District 03","Fort Wayne, IN Metro Area",Metropolitan Statistical Area,"Fort Wayne-Huntington-Auburn, IN CSA",Not applicable,-85.111747,41.115418,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate comprehensive,"Medium full-time four-year, inclusive",Very high undergraduate,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /2 of  5","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,IPFW|IUPUFW|Purdue University-Fort Wayne|Purdue-Fort Wayne|Purdue Fort Wayne
151111,Indiana University-Purdue University-Indianapolis,2013,Indiana University-Purdue University-Indianapolis,425 University Blvd,Indianapolis,Indiana,46202-5143,Indiana,Great Lakes IL IN MI OH WI,Charles R. Bantz,Chancellor,3172745555,,www.iupui.edu,www.iupui.edu/~finaid/,enroll.iupui.edu/admissions/,enroll.iupui.edu/admissions/apply/,npc.collegeboard.org/student/app/iupui,181300,Participates in Title IV federal financial aid programs,356001673,Institution is part of a multi-institution or multi-campus organization,118030,Indiana University-Purdue University,"Public, 4-year or above",Four or more years,Public,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree - research/scholarship and professional practice,Degree-granting,No,No,Yes,No,City: Large,"Marion County, IN",Marion County,"IN, District 07","Indianapolis-Carmel-Anderson, IN Metro Area",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN CSA",Not applicable,-86.172217,39.772948,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Research Universities (high research activity),"Professions plus arts & sciences, high graduate coexistence","Doctoral, professional dominant","Medium full-time four-year, selective, higher transfer-in",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Doctoral/Research Universities--Intensive,"Research Universities (high research activity), public/1of 2","Yes, institution submitted a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,IUPUI|IUPU at Indianapolis
151263,University of Indianapolis,2013,University of Indianapolis,1400 E Hanna Ave,Indianapolis,Indiana,46227-3697,Indiana,Great Lakes IL IN MI OH WI,Robert L. Manuel,President,3177883368,,uindy.edu,www.uindy.edu/financial-aid,www.uindy.edu/admissions,www.uindy.edu/admissions/apply-for-admission,uindy.studentaidcalculator.com/welcome.aspx,180400,Participates in Title IV federal financial aid programs,350868107,Institution is NOT part of a multi-institution or multi-campus organization,-2,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Doctor's degree,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Doctor's degree -  professional practice,Degree-granting,No,No,No,No,City: Large,"Marion County, IN",Marion County,"IN, District 07","Indianapolis-Carmel-Anderson, IN Metro Area",Metropolitan Statistical Area,"Indianapolis-Carmel-Muncie, IN CSA",Not applicable,-86.134747,39.709671,Institution is open to the public,Active - institution active,-2,Not applicable,-2,Yes,Primarily postsecondary institution,Active postsecondary institution,Title IV postsecondary institution,Student charges for full academic year and fall GR/SFA/retention rate cohort,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate comprehensive,"Medium full-time four-year, selective, lower transfer-in",High undergraduate,"Medium four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), private not-for-profit /2 of 7","No, institution did not submit a custom comparison group","Complete, final lock applied",Did not submit revised data,Respondent,Not applicable,No,UIndy
